x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
2.4201,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.4429,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.4658,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.4886,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.5114,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.5342,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.5571,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.5799,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.6027,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.6256,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.6484,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.6712,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.6941,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.7169,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.7397,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.7626,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
0.9589,141.1111,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.0046,141.2191,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.0274,141.2963,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.0502,141.3272,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.0731,141.3580,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.1187,141.3889,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.1416,141.3117,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.1644,141.4198,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.1872,141.2346,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.2100,141.2346,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.2329,141.2037,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.2557,141.2037,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.2785,141.1728,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.3014,141.1420,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.3242,140.8333,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.3699,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.3927,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.4155,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.4384,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
