x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
8.8776,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.9796,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
9.0816,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
9.1837,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
9.2857,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
9.3878,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.2449,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.3469,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.4490,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.5510,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.6531,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.7551,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.8571,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
12.9592,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.0612,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.1633,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.2653,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.3673,5.3556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.4694,5.3889,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.5714,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.6735,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.7755,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.8776,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
13.9796,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.0816,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.1837,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.2857,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.3878,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.4898,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.5918,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.6939,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.7959,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
14.8980,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.0000,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.1020,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.2041,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.3061,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.4082,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.5102,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.6122,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.7143,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.8163,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
15.9184,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.0204,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.1224,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.2245,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.3265,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.4286,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.5306,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.6327,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.7347,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
16.8367,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
